Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Buildout,Conversion Factor MJ,Unit MJ,Uncertainty Range Category,Carbon Intensity Unit,Carbon Intensity,Energy Produced,Energy Unit,Generated Emissions in F2C,Use,Weight,Compared to,Useful Output Unit,Adjustment Factor,Carbon Intensity of Use,Adjusted Energy Used in MJ,Emissions Avoided in C2U,Net Avoided Emissions,Net Avoided Emissions Unit
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2030,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,1313999999.9999998,MJ,13810139999.999998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.14080823999999997,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2025,0,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,73.4,0,MJ,0,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2025,0,119999.99999999999,MJ per MT,Low,gCO2e/MJ,73.4,0,MJ,0,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2025,0,119999.99999999999,MJ per MT,High,gCO2e/MJ,73.4,0,MJ,0,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2026,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2026,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2026,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2027,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2027,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2027,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2028,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2028,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2028,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2029,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2029,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2029,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2030,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2030,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2030,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2031,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2031,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2031,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2032,10950,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2032,10950,119999.99999999999,MJ per MT,Low,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2032,10950,119999.99999999999,MJ per MT,High,gCO2e/MJ,73.4,1313999999.9999998,MJ,96447599999.99998,Ammonia Production,1,Ammonia,tons of Ammonia,1,117.67,1313999999.9999998,154618379999.99997,0.058170779999999984,million MT CO2e
